242	咖啡
242	下午茶
245	水果
246	蔬菜豆品
247	肉禽蛋品
218	烧烤
219	香锅砂锅
269	煲仔饭
269	煲仔
270	海鲜水产
270	水产
270	生鲜
271	便利店
271	便利
271	超市
227	鲁菜
228	新疆菜
228	新疆
229	日韩料理
229	日韩
229	料理
272	美妆母婴
273	休闲零食
274	名酒坊
263	其他菜系
264	东南亚菜
264	东南亚
265	简餐
212	汉堡
213	米粉面馆
213	粉面
214	麻辣烫
240	奶茶果汁
241	甜品
241	甜点
241	下午茶
215	包子粥店
216	生煎锅贴
217	饺子馄饨
236	小龙虾
237	地方小吃
237	小吃
238	零食
234	炸鸡炸串
235	鸭脖卤味
254	大型超市
254	超市
254	便利店
254	便利
255	水站
256	奶站
230	西餐
231	火锅烤鱼
232	海鲜
249	蛋糕
250	面包
266	烧腊饭
267	黄焖鸡米饭
268	咖喱饭
257	粮油副食
258	茶行
221	川湘菜
221	湘菜
221	川菜
222	粤菜
223	东北菜
224	云南菜
225	江浙菜
226	西北菜
209	盖浇饭
211	披萨意面
298	宠物超市
282	饮料冰品
322	滋补保健
290	冷冻速食
290	冷冻食品
314	成人用品
306	药店
306	药房
338	绿植
330	鲜花
